OrderNumber,ShipDate,StatusDate,ClearanceStatusType,CartonCount,PieceCount,Code,LookupDepot_Description,AssignedDepotCode,Accounts_Description,StatusType,Label
34460990,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460380,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458777,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458991,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461414,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458757,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468638,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34446407,3/31/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463882,4/2/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463882,4/2/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34419261,3/26/2020,,0,12,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34421754,3/26/2020,,0,1,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34435630,4/1/2020,,0,0,1,RDU,Raleigh-Durham (RDU),RDU,"Kohler - Spartanburg, SC (TTE)",200,Shipment Data Received-Not Clearable
34289055,3/31/2020,,0,76,9,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34411304,3/30/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34454603,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34468636,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468639,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34467858,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463866,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463859,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463880,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34463857,4/2/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34323060,3/31/2020,,0,35,12,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34429631,3/27/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34431840,3/27/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
TVB000004781,3/31/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34430384,3/31/2020,,0,0,6,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34414284,3/26/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
TVY000002058,4/6/2020,,0,0,0,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34457885,4/1/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Huntsville, AL (TTV)",200,Shipment Data Received-Not Clearable
34463857,4/2/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34433409,4/1/2020,,0,0,6,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34460379,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461849,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458692,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34453416,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460112,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34459083,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458842,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34433409,4/1/2020,,0,0,6,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34460602,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34433409,4/1/2020,,0,0,6,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428579,4/1/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428579,4/1/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34454298,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34433401,4/1/2020,,0,0,6,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34431958,4/2/2020,,0,17,1,MEM,Memphis (MEM),MEM,"Kohler - Huntsville, AL (TTV)",200,Shipment Data Received-Not Clearable
34431243,4/2/2020,,0,7,1,MEM,Memphis (MEM),MEM,"Kohler - Huntsville, AL (TTV)",200,Shipment Data Received-Not Clearable
34462111,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34433411,4/1/2020,,0,0,4,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428587,4/1/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34458439,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34433401,4/1/2020,,0,0,6,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34461275,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34433402,4/1/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428581,4/1/2020,,0,0,5,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34428581,4/1/2020,,0,0,5,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34433412,4/1/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34433412,4/1/2020,,0,0,3,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34413403,3/25/2020,,0,0,2,MEM,Memphis (MEM),MEM,"Kohler - Huntsville, AL (TTV)",200,Shipment Data Received-Not Clearable
34428583,4/1/2020,,0,0,9,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
